tradeday,account,nav
2019-06-04,XLIN01,48036.2
2019-06-05,XLIN01,48155.39
2019-06-06,XLIN01,48095.78
2019-06-07,XLIN01,48300.47
2019-06-10,XLIN01,47681.27
2019-06-11,XLIN01,47599.86
2019-06-12,XLIN01,47991.45
2019-06-13,XLIN01,48177.16
2019-06-14,XLIN01,47007.371
2019-06-17,XLIN01,41859.581
2019-06-18,XLIN01,41861.081
2019-06-19,XLIN01,42042.531
2019-06-20,XLIN01,42176.711
2019-06-21,XLIN01,42209.001
2019-06-24,XLIN01,42015.461
2019-06-25,XLIN01,41677.431
2019-06-26,XLIN01,41570.461
2019-06-27,XLIN01,41777.021
2019-06-28,XLIN01,41998.621
2019-07-01,XLIN01,42135.231
2019-07-02,XLIN01,42283.741
2019-07-03,XLIN01,42440.521
2019-07-04,XLIN01,42440.521
2019-07-05,XLIN01,42421.846
2019-07-08,XLIN01,42312.781
2019-07-09,XLIN01,42496.051
2019-07-10,XLIN01,42656.181
2019-07-11,XLIN01,42724.571
2019-07-12,XLIN01,42909.201
2019-07-15,XLIN01,42967.441
2019-07-16,XLIN01,42997.121
2019-07-17,XLIN01,42899.071
2019-07-18,XLIN01,42882.111
2019-07-19,XLIN01,42636.091
2019-07-22,XLIN01,42800.971
2019-07-23,XLIN01,42885.861
2019-07-24,XLIN01,43018.841
2019-07-25,XLIN01,42914.3607
2019-07-26,XLIN01,43420.711
2019-07-29,XLIN01,42771.401
2019-07-30,XLIN01,42942.011
2019-07-31,XLIN01,42736.281
2019-08-01,XLIN01,42506.445
2019-08-02,XLIN01,42129.5247
2019-08-05,XLIN01,41496.345
2019-08-06,XLIN01,41633.345
2019-08-07,XLIN01,41714.615
2019-08-08,XLIN01,42107.105
2019-08-09,XLIN01,41948.515
2019-08-12,XLIN01,41618.045
2019-08-13,XLIN01,41978.555
2019-08-14,XLIN01,41457.8065
